no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
549,3011624,환경부,진천군(오갑교),Jincheon-gun(Ogapgyo),금강,미호천,충청북도 진천군 초평면 오갑리 오갑교,127.503333,36.845556
,,,,,,,(충청북도 진?,,
550,3011625,환경부,증평군(반탄교),Jeungpyeong-gun(Bantangyo),금강,보강천,충청북도 증평군 증평읍 초중리 반탄교,127.572222,36.783889
551,3011630,환경부,청주시(여암교),Cheongju-si(Yeoamgyo),금강,미호천,충청북도 청주시 청원구 오창읍 여천리 여암교,127.509722,36.771944
,,,,,,,(충청?,,
552,3011635,환경부,청주시(팔결교),Cheongju-si(Palgyeolgyo),금강,미호천,충청북도 청주시 청원구 외하동 팔결교,127.475556,36.714167
,,,,,,,(충청북도 청,,
553,3011641,환경부,청주시(노동교),Cheongju-si(Nodonggyo),금강,무심천,충청북도 청주시 가덕면 노동리 471-1 노동교,127.532222,36.551944
554,3011643,환경부,청주시(용평교),Cheongju-si(Yongpyeonggyo),금강,무심천,충청북도 청주시 흥덕구 분평동 용평교,127.497222,36.611667
555,3011645,환경부,청주시(흥덕교),Cheongju-si(Heungdeokgyo),금강,무심천,충청북도 청주시 흥덕구 운천동 흥덕교,127.481389,36.646667
556,3011650,환경부,천안시(장산교),Cheonan-si(Jangsangyo),금강,병천천,충청남도 천안시 수신면 장산리 장산교,127.296944,36.740278
557,3011660,환경부,청주시(환희교),Cheongju-si(Hwanhuigyo),금강,병천천,충청북도 청주시 청원구 옥산면 환희리 72-1,127.361667,36.674444
558,3011665,환경부,청주시(미호천교),Cheongju-si(Mihocheongyo),금강,미호천,충청북도 청주시 흥덕구 강내면 탑연리 미호천교,127.350556,36.623056
,,,,,,,(충?,,
559,3011675,환경부,세종시(상조천교),Sejong-si(Sangjocheongyo),금강,조천,세종특별자치시 조치원읍 신안리 상조천교,127.287778,36.636111
,,,,,,,(충청북도,,
560,3011685,환경부,세종시(미호교),Sejong-si(Mihogyo),금강,미호천,충청북도 청주시 흥덕구 오송읍 미호교,127.316389,36.5825
,,,,,,,(세종특별자?,,
561,3011687,환경부,세종시(월암교),Sejong-si(Wolamgyo),금강,월하천,세종특별자치시 연서면 봉암리 월암교,127.288333,36.570833
,,,,,,,(세종특별자치?,,
562,3011695,환경부,세종시(월산교),Seojong-si(Wolsangyo),금강,미호천,세종특별자치시 연기면 세종리 23-3,127.319167,36.525556
563,3012602,환경부,세종시(햇무리교),Sejong-si(hattmurigyo),금강,금강,세종특별자치시 연기면 세종리 햇무리교,127.299167,36.499167
564,3012605,환경부,세종시(금남교),Sejong-si(Geumnamgyo),금강,금강,세종특별자치시 연기면 세종리 금남교,127.270833,36.477778
565,3012607,환경부,세종시(도암교),Sejong-si(Doamgyo),금강,용수천,세종특별자치시 금남면 도암리 도암교,127.285,36.446667
566,3012608,환경부,세종시(세종보하),Sejong-si(SejongboHa),금강,금강,세종특별자치시 연기면 세종리 학나래교,127.258333,36.469444
567,3012609,환경부,세종시(산봉교),Sejong-si(Sanbonggyo),금강,대교천,세종특별자치시 장군면 봉안리 산봉교,127.239444,36.477778
568,3012612,환경부,공주시(마암리),Gongju-si(Maam-ri),금강,금강,충청남도 공주시 반포면 마암리(산 96-8번지 주변),127.208889,36.435
569,3012620,환경부,공주시(금강교),Gongju-SI(Geumganggyo),금강,금강,충청남도 공주시 금성동 금강교,127.124722,36.467222
570,3012625,환경부,공주시(오인교),Gongju-si(Oingyo),금강,정안천,충청남도 공주시 의당면 요룡리 오인교,127.126944,36.5275
571,3012630,수자원공사,공주시(평소리),Gongjusi(Pyeongsori),금강,유구천,충청남도 공주시 신풍면 평소리 272-3,126.988333,36.516389
572,3012633,환경부,공주시(공주보상),Gongju-si(GongjuboSang),금강,금강,충청남도 공주시 우성면 평목리 87,127.098611,36.465
573,3012634,환경부,공주시(공주보하),Gongju-si(GongjuboHa),금강,금강,충청남도 공주시 우성면 평목리 87,127.096111,36.460833
574,3012635,환경부,공주시(국재교),Gongju-si(Gukjaegyo),금강,유구천,충청남도 공주시 사곡면 화월리 국재교,127.043056,36.482222
575,3012650,환경부,청양군(신흥리),Cheongyang-gun(Sinheung-ri),금강,금강,충청남도 청양군 목면 신흥리(46-1번지 주변),127.022778,36.397778
576,3012655,환경부,청양군(지천교),Cheongyang-gun(Gicheongyo),금강,지천,충청남도 청양군 청양읍 적누리 지천교,126.790833,36.428611
,,,,,,,(충청남도 청?,,
577,3012662,환경부,청양군(백제보상),Cheongyang-gun(BaekjeboSang),금강,금강,충청남도 청양군 청남면 왕진리 77,126.954167,36.328056
578,3012664,환경부,부여군(백제보하),Buyeo-gun(BaekjeboHa),금강,금강,충청남도 부여군 부여읍 정동리 산14-1,126.935556,36.316111
579,3012665,환경부,부여군(지천교),Buyeo-gun(Jicheongyo),금강,지천,충청남도 부여군 은산면 회곡리 지천교,126.858889,36.326111
580,3012674,환경부,부여군(송학교),Buyeo-gun(Songhakgyo),금강,금천,충청남도 부여군 남면 송학리 송학교,126.801389,36.221667
581,3012675,환경부,부여군(백제교),Buyeo-gun(Baekjegyo),금강,금강,충청남도 부여군 규암면 규암리 백제교,126.891667,36.275833
,,,,,,,(충청남도 부?,,
582,3012680,환경부,부여군(석동교),Buyeo-gun(Seokdonggyo),금강,금천,충청남도 부여군 장암리 석동리 석동교,126.884167,36.2475
